year,year_index,geo,income_quintile,expense_category,coordinate,expense,log_expense,age_group,family_income_group,income,log_income,expense_to_income_ratio
2010,0,Province 11,Fourth quintile,"Water, fuel and electricity for principal accommodation",C1096,3172.0,3.501333,45 to 54 years,"$35,000 and over",38030.0,4.580126,0.08340784
2010,0,Province 11,Fourth quintile,Other accommodation,C1097,998.0,2.999131,45 to 54 years,"$40,000 and over",37480.0,4.5738,0.02662753
2010,0,Province 11,Fourth quintile,Household operations,C1098,4351.0,3.638589,45 to 54 years,"$45,000 and over",36820.0,4.566084,0.11816947
2010,0,Province 11,Fourth quintile,Communications,C1099,2152.0,3.332842,45 to 54 years,"$50,000 and over",36000.0,4.556303,0.05977778
2010,0,Province 11,Fourth quintile,Household furnishings and equipment,C1100,3270.0,3.514548,45 to 54 years,"$60,000 and over",33980.0,4.531223,0.09623308
2010,0,Province 11,Fourth quintile,Household furnishings,C1101,1480.0,3.170262,45 to 54 years,"$70,000 and over",31260.0,4.494989,0.04734485
2010,0,Province 11,Fourth quintile,Household equipment,C1102,1686.0,3.226858,45 to 54 years,"$75,000 and over",29780.0,4.473925,0.05661518
2010,0,Province 11,Fourth quintile,Household appliances,C1103,638.0,2.804821,45 to 54 years,"$80,000 and over",28200.0,4.450249,0.02262411
2010,0,Province 11,Fourth quintile,Clothing and accessories,C1104,3989.0,3.600864,45 to 54 years,"$90,000 and over",24860.0,4.395501,0.16045857
2010,0,Province 11,Fourth quintile,Transportation,C1105,15113.0,4.179351,45 to 54 years,Median total income,105080.0,5.02152,0.14382375
2010,0,Province 11,Highest quintile,Total expenditure,C1106,134996.0,5.130321,55 to 64 years,All income groups,38620.0,4.586812,3.49549456
2010,0,Province 11,Highest quintile,Food purchased from stores,C1107,7965.0,3.901186,55 to 64 years,"Under $10,000",190.0,2.278754,41.92105263
2010,0,Province 11,Highest quintile,Food purchased from restaurants,C1108,3720.0,3.570543,55 to 64 years,"$10,000 and over",38430.0,4.58467,0.09679938
2010,0,Province 11,Highest quintile,Shelter,C1109,22665.0,4.355356,55 to 64 years,"$15,000 and over",38180.0,4.581836,0.59363541
2010,0,Province 11,Highest quintile,Principal accommodation,C1110,18687.0,4.27154,55 to 64 years,"$20,000 and over",37700.0,4.576341,0.49567639
2010,0,Province 11,Highest quintile,Rented living quarters,C1111,779.0,2.891537,55 to 64 years,"$25,000 and over",37270.0,4.571359,0.02090153
2010,0,Province 11,Highest quintile,Owned living quarters,C1112,14293.0,4.155123,55 to 64 years,"$30,000 and over",36690.0,4.564548,0.38956119
2010,0,Province 11,Highest quintile,"Water, fuel and electricity for principal accommodation",C1113,3614.0,3.557988,55 to 64 years,"$35,000 and over",35900.0,4.555094,0.10066852
2010,0,Province 11,Highest quintile,Other accommodation,C1114,3979.0,3.599774,55 to 64 years,"$40,000 and over",34820.0,4.541829,0.11427341
2010,0,Province 11,Highest quintile,Household operations,C1115,5806.0,3.763877,55 to 64 years,"$45,000 and over",33560.0,4.525822,0.17300358
2010,0,Province 11,Highest quintile,Communications,C1116,2322.0,3.365862,55 to 64 years,"$50,000 and over",32160.0,4.507316,0.07220149
2010,0,Province 11,Highest quintile,Household furnishings and equipment,C1117,4734.0,3.675228,55 to 64 years,"$60,000 and over",28860.0,4.460296,0.16403326
2010,0,Province 11,Highest quintile,Household furnishings,C1118,2722.0,3.434888,55 to 64 years,"$70,000 and over",25350.0,4.403978,0.10737673
2010,0,Province 11,Highest quintile,Household equipment,C1119,1826.0,3.261501,55 to 64 years,"$75,000 and over",23500.0,4.371068,0.07770213
2010,0,Province 11,Highest quintile,Household appliances,C1120,821.0,2.914343,55 to 64 years,"$80,000 and over",21690.0,4.33626,0.03785154
2010,0,Province 11,Highest quintile,Clothing and accessories,C1121,5370.0,3.729974,55 to 64 years,"$90,000 and over",18410.0,4.265054,0.2916893
2010,0,Province 11,Highest quintile,Transportation,C1122,20129.0,4.303822,55 to 64 years,Median total income,87230.0,4.940666,0.23075777
2010,0,Province 12,All quintiles,Total expenditure,C1123,89077.0,4.949766,Total all ages,All income groups,45820.0,4.661055,1.94406373
2010,0,Province 12,All quintiles,Food purchased from stores,C1124,6364.0,3.80373,Total all ages,"Under $10,000",610.0,2.78533,10.43278689
2010,0,Province 12,All quintiles,Food purchased from restaurants,C1125,2523.0,3.401917,Total all ages,"$10,000 and over",45210.0,4.655235,0.05580624
2010,0,Province 12,All quintiles,Shelter,C1126,17471.0,4.242318,Total all ages,"$15,000 and over",44750.0,4.650793,0.39041341
2010,0,Province 12,All quintiles,Principal accommodation,C1127,15534.0,4.191283,Total all ages,"$20,000 and over",43940.0,4.64286,0.35352754
2010,0,Province 12,All quintiles,Rented living quarters,C1128,3202.0,3.505421,Total all ages,"$25,000 and over",42920.0,4.63266,0.07460391
2010,0,Province 12,All quintiles,Owned living quarters,C1129,9385.0,3.972434,Total all ages,"$30,000 and over",40830.0,4.610979,0.2298555
2010,0,Province 12,All quintiles,"Water, fuel and electricity for principal accommodation",C1130,2947.0,3.46938,Total all ages,"$35,000 and over",38360.0,4.583879,0.07682482
2010,0,Province 12,All quintiles,Other accommodation,C1131,1937.0,3.28713,Total all ages,"$40,000 and over",36070.0,4.557146,0.05370114
2010,0,Province 12,All quintiles,Household operations,C1132,4714.0,3.67339,Total all ages,"$45,000 and over",33850.0,4.529559,0.13926145
2010,0,Province 12,All quintiles,Communications,C1133,2267.0,3.355452,Total all ages,"$50,000 and over",31560.0,4.499137,0.07183143
2010,0,Province 12,All quintiles,Household furnishings and equipment,C1134,2498.0,3.397592,Total all ages,"$60,000 and over",26940.0,4.430398,0.09272457
2010,0,Province 12,All quintiles,Household furnishings,C1135,1119.0,3.04883,Total all ages,"$70,000 and over",22470.0,4.351603,0.04979973
